name,quadrant,ring,isNew,description
Alpakka,Frameworks,Adopt,TRUE,
Akka,Frameworks,Adopt,TRUE,
Akka Streams,Frameworks,Adopt,TRUE,
Express,Frameworks,Adopt,TRUE,
Gradle,Frameworks,Adopt,TRUE,
NodeJs,Frameworks,Adopt,TRUE,
React,Frameworks,Adopt,TRUE,
Redux,Frameworks,Adopt,TRUE,
Styled-components,Frameworks,Adopt,TRUE,
Styled-system,Frameworks,Adopt,TRUE,
React-Helmet,Frameworks,Adopt,TRUE,
Loadable,Frameworks,Adopt,TRUE,
FastHttp,Frameworks,Assess,TRUE,
Sass,Frameworks,Adopt,TRUE,
SBT,Frameworks,Adopt,TRUE,
Spring,Frameworks,Adopt,TRUE,
Swagger,Frameworks,Adopt,TRUE,
WebPack,Frameworks,Adopt,TRUE,
Gatling,Frameworks,Trial,TRUE,
GraphQL,Frameworks,Adopt,TRUE,
Apollo Client,Frameworks,Trial,TRUE,
Play Framework,Frameworks,Trial,TRUE,
PWA,Frameworks,Trial,TRUE,
gRPC,Frameworks,Assess,TRUE,
http4s,Frameworks,Assess,TRUE,
Kafka Streams,Frameworks,Assess,TRUE,
Protobuf,Frameworks,Assess,TRUE,
Webflux,Frameworks,Assess,TRUE,
AngularJS,Frameworks,Hold,TRUE,
Echo,Frameworks,Hold,TRUE,
jQuery,Frameworks,Hold,TRUE,
Glide,Frameworks,Hold,TRUE,
Grunt,Frameworks,Hold,TRUE,
Gulp,Frameworks,Hold,TRUE,
Maven,Frameworks,Hold,TRUE,
Symfony,Frameworks,Hold,TRUE,
VueJS,Frameworks,Hold,TRUE,
Yii,Frameworks,Hold,TRUE,
Go,Languages,Adopt,TRUE,
Java,Languages,Adopt,TRUE,
Javascript,Languages,Adopt,TRUE,
Scala,Languages,Adopt,TRUE,
Swift,Languages,Adopt,TRUE,
Kotlin,Languages,Trial,TRUE,
Typescript,Languages,Trial,TRUE,
Dart,Languages,Assess,TRUE,
Elixir,Languages,Assess,TRUE,
Reason-ML,Languages,Assess,TRUE,
Objective-C,Languages,Hold,TRUE,
PHP,Languages,Hold,TRUE,
Python,Languages,Hold,TRUE,
AWS,Infrastructure,Adopt,TRUE,
Circle CI,Infrastructure,Adopt,TRUE,
Docker,Infrastructure,Adopt,TRUE,
Grafana,Infrastructure,Adopt,TRUE,
Kubernetes,Infrastructure,Adopt,TRUE,
Nginx,Infrastructure,Adopt,TRUE,
Terraform,Infrastructure,Adopt,TRUE,
ELK stack,Infrastructure,Adopt,TRUE,
Envoy,Infrastructure,Trial,TRUE,
Firebase,Infrastructure,Trial,TRUE,
Helm,Infrastructure,Trial,TRUE,
New Relic,Infrastructure,Trial,TRUE,
Prometheus,Infrastructure,Trial,TRUE,
Sentry,Infrastructure,Trial,TRUE,
Zabbix,Infrastructure,Trial,TRUE,
Argo,Infrastructure,Assess,TRUE,
Azure,Infrastructure,Assess,TRUE,
Google Cloud Platform,Infrastructure,Assess,TRUE,
Graylog,Infrastructure,Assess,TRUE,
Istio,Infrastructure,Assess,TRUE,
Jaeger,Infrastructure,Assess,TRUE,
Lambda Functions,Infrastructure,Assess,TRUE,
Open Policy,Infrastructure,Assess,TRUE,
Service Mesh,Infrastructure,Assess,TRUE,
Vault Hashicorp,Infrastructure,Assess,TRUE,
Ansible,Infrastructure,Hold,TRUE,
Chef,Infrastructure,Hold,TRUE,
In-house CI/CD solutions,Infrastructure,Hold,TRUE,
Jenkins,Infrastructure,Hold,TRUE,
Puppet,Infrastructure,Hold,TRUE,
Tomcat,Infrastructure,Hold,TRUE,
Undertow,Infrastructure,Hold,TRUE,
AWS-SQS/SNS,Data and Integration,Adopt,TRUE,
PostgreSQL,Data and Integration,Adopt,TRUE,
Redis,Data and Integration,Adopt,TRUE,
AWS-Kinesis,Data and Integration,Trial,TRUE,
Debezium,Data and Integration,Trial,TRUE,
MongoDB,Data and Integration,Trial,TRUE,
RabbitMQ,Data and Integration,Trial,TRUE,
Cassandra,Data and Integration,Assess,TRUE,
Neo4j,Data and Integration,Assess,TRUE,
Kafka,Data and Integration,Assess,TRUE,
Memcached,Data and Integration,Hold,TRUE,
MySQL,Data and Integration,Hold,TRUE,
